***SESSION HEADER***
{
  "Participant": "sergey",
  "Timestamp": "09-13-09-18-04-2019"
}
---SESSION HEADER---
Time;Position;Rotation.X;Rotation.Y;FPS;Input;
219.9291;(-42.8100, 2.5500, 76.1200);203.2107;11.5003;Infinity;;
219.9366;(-42.8100, 2.5500, 76.1200);203.2107;11.5003;286.3626;;
219.9964;(-42.8100, 2.5500, 76.1200);203.2107;11.5003;127.8502;;
220.0459;(-42.8100, 2.5500, 76.1200);203.2107;11.5003;97.8561;;
220.0962;(-42.8100, 2.5500, 76.1200);203.2107;11.5003;83.6795;;
220.1460;(-42.8100, 2.5500, 76.1200);203.2107;11.5003;75.4935;;
220.1965;(-42.8100, 2.5500, 76.1200);203.2107;11.5003;70.5189;;
220.2456;(-42.8100, 2.5500, 76.1200);203.2107;11.5003;67.4190;;
220.2960;(-42.8100, 2.5500, 76.1200);203.2107;11.5003;65.2717;;
220.3457;(-42.8100, 2.5500, 76.1200);203.2107;11.5003;63.6388;;
220.3962;(-42.8100, 2.5500, 76.1200);203.2107;11.5003;62.6045;;
220.4454;(-42.8100, 2.5500, 76.1200);203.2107;11.5003;62.5410;;
220.4964;(-42.8100, 2.5500, 76.1200);203.2107;11.5003;61.6980;;
220.5459;(-42.8100, 2.5500, 76.1200);203.2107;11.5003;61.1719;;
220.5964;(-42.8100, 2.5500, 76.1200);203.2107;11.5003;60.8774;;
220.6458;(-42.8100, 2.5500, 76.1200);203.2107;11.5003;60.6467;;
220.6957;(-42.8100, 2.5500, 76.1200);203.2107;11.5003;60.6323;;
220.7456;(-42.8100, 2.5500, 76.1200);203.2107;11.5003;60.3260;;
220.7953;(-42.8100, 2.5500, 76.1200);203.2107;11.5003;60.5366;;
220.8456;(-42.8100, 2.5500, 76.1200);203.2107;11.5003;60.1592;;
220.8960;(-42.8100, 2.5500, 76.1200);203.2107;11.5003;60.6536;;
220.9456;(-42.8100, 2.5500, 76.1200);203.2107;11.5003;60.4411;;
220.9951;(-42.8100, 2.5500, 76.1200);203.2107;11.5003;60.6228;;
221.0458;(-42.8100, 2.5500, 76.1200);203.2107;11.5003;60.0920;;
221.0962;(-42.8100, 2.5500, 76.1200);203.2107;11.5003;60.1072;;
221.1452;(-42.8100, 2.5500, 76.1200);203.2107;11.5003;60.2101;;
221.1958;(-42.8100, 2.5500, 76.1200);203.2107;11.5003;60.1287;;
221.2455;(-42.8100, 2.5500, 76.1200);203.2107;11.5003;60.0174;;
221.2959;(-42.8100, 2.5500, 76.1200);203.2107;11.5003;60.4939;;
221.3456;(-42.8100, 2.5500, 76.1200);203.2107;11.5003;60.2912;;
221.3958;(-42.8100, 2.5500, 76.1200);203.2107;11.5003;60.2402;;
221.4450;(-42.8100, 2.5500, 76.1200);203.2107;11.5003;60.2866;;
221.4953;(-42.8100, 2.5500, 76.1200);203.2107;11.5003;60.2758;;
221.5453;(-42.8100, 2.5500, 76.1200);203.2107;11.5003;60.5866;;
221.5960;(-42.8100, 2.5500, 76.1200);203.2107;11.5003;60.3610;;
221.6447;(-42.8100, 2.5500, 76.1200);203.2107;11.5003;60.5146;;
221.6954;(-42.8100, 2.5500, 76.1200);203.2107;11.5003;60.8479;;
221.7453;(-42.8100, 2.5500, 76.1200);203.2107;11.5003;60.5451;;
221.7959;(-42.8100, 2.5500, 76.1200);203.2107;11.5003;60.3143;;
221.8456;(-42.8100, 2.5500, 76.1200);203.2107;11.5003;60.1920;;
221.8958;(-42.8100, 2.5500, 76.1200);203.2107;11.5003;60.1868;;
221.9453;(-42.8100, 2.5500, 76.1200);203.2107;11.5003;60.1176;;
221.9960;(-42.8100, 2.5500, 76.1200);203.2107;11.5003;59.9946;;
222.0455;(-42.8100, 2.5500, 76.1200);203.2107;11.5003;60.5514;;
222.0965;(-42.8100, 2.5500, 76.1200);203.2107;11.5003;60.2586;;
222.1453;(-42.8100, 2.5500, 76.1200);203.2107;11.5003;60.3114;;
222.1957;(-42.8100, 2.5500, 76.1200);203.2107;11.5003;60.2337;;
222.2452;(-42.8100, 2.5500, 76.1200);203.2107;11.5003;60.1766;;
222.2957;(-42.8100, 2.5500, 76.1200);203.2107;11.5003;60.1000;;
222.3450;(-42.8100, 2.5500, 76.1200);203.2107;11.5003;60.6396;;
222.3963;(-42.8100, 2.5500, 76.1200);203.2107;11.5003;60.2228;;
222.4452;(-42.8100, 2.5500, 76.1200);203.2107;11.5003;60.3383;;
222.4952;(-42.8100, 2.5500, 76.1200);203.2107;11.5003;60.4722;;
222.5442;(-42.8100, 2.5500, 76.1200);203.2107;11.5003;60.4684;;
222.5957;(-42.8100, 2.5500, 76.1200);203.2107;11.5003;60.0029;;
222.6453;(-42.8100, 2.5500, 76.1200);203.2107;11.5003;59.9536;;
222.6951;(-42.8100, 2.5500, 76.1200);203.2107;11.5003;60.1690;;
222.7451;(-42.8100, 2.5500, 76.1200);203.2107;11.5003;60.0000;;
222.7953;(-42.8100, 2.5500, 76.1200);203.2107;11.5003;60.0771;;
222.8451;(-42.8100, 2.5500, 76.1200);203.2107;11.5003;59.9195;;
222.8947;(-42.8100, 2.5500, 76.1200);203.2107;11.5003;60.1871;;
222.9448;(-42.8100, 2.5500, 76.1200);203.2107;11.5003;59.9830;;
222.9954;(-42.8100, 2.5500, 76.1200);203.2107;11.5003;59.9255;;
223.0450;(-42.8100, 2.5500, 76.1200);203.2107;11.5003;59.8602;;
223.0950;(-42.8100, 2.5500, 76.1200);203.2107;11.5003;59.9874;;
223.1449;(-42.8100, 2.5500, 76.1200);203.2107;11.5003;59.9168;;
223.1950;(-42.8100, 2.5500, 76.1200);203.2107;11.5003;60.0071;;
223.2450;(-42.8100, 2.5500, 76.1200);203.2107;11.5003;59.8673;;
223.2948;(-42.8100, 2.5500, 76.1200);203.2107;11.5003;60.1028;;
223.3442;(-42.8100, 2.5500, 76.1200);203.2107;11.5003;60.1158;;
223.3961;(-42.8100, 2.5500, 76.1200);203.2107;11.5003;59.5826;;
223.4449;(-42.8100, 2.5500, 76.1200);203.2107;11.5003;59.8985;;
223.4953;(-42.8100, 2.5500, 76.1200);203.2107;11.5003;59.9151;;
223.5440;(-42.8100, 2.5500, 76.1200);203.2107;11.5003;60.2180;;
223.5957;(-42.8100, 2.5500, 76.1200);203.2107;11.5003;59.8062;;
223.6445;(-42.8100, 2.5500, 76.1200);203.2107;11.5003;60.0271;;
223.6954;(-42.8100, 2.5500, 76.1200);203.2107;11.5003;59.9055;;
223.7447;(-42.8100, 2.5500, 76.1200);203.2107;11.5003;59.9329;;
223.7953;(-42.8100, 2.5500, 76.1200);203.2107;11.5003;59.8768;;
223.8447;(-42.8100, 2.5500, 76.1200);203.2107;11.5003;59.9625;;
223.8947;(-42.8100, 2.5500, 76.1200);203.2107;11.5003;60.1272;;
223.9444;(-42.8100, 2.5500, 76.1200);203.2107;11.5003;60.0392;;
223.9951;(-42.8100, 2.5500, 76.1200);203.2107;11.5003;60.4491;;
224.0448;(-42.8100, 2.5500, 76.1200);203.2107;11.5003;60.2716;;
224.0948;(-42.8100, 2.5500, 76.1200);203.2107;11.5003;60.3381;;
224.1438;(-42.8100, 2.5500, 76.1200);203.2107;11.5003;60.4233;;
224.1949;(-42.8100, 2.5500, 76.1200);203.2107;11.5003;60.0969;;
224.2444;(-42.8100, 2.5500, 76.1200);203.2107;11.5003;60.0592;;
224.2950;(-42.8100, 2.5500, 76.1200);203.2107;11.5003;59.9894;;
224.3445;(-42.8100, 2.5500, 76.1200);203.2107;11.5003;59.9946;;
224.3950;(-42.8100, 2.5500, 76.1200);203.2107;11.5003;59.9653;;
224.4442;(-42.8100, 2.5500, 76.1200);203.2107;11.5003;60.0869;;
224.4949;(-42.8100, 2.5500, 76.1200);203.2107;11.5003;59.9670;;
224.5444;(-42.8100, 2.5500, 76.1200);203.2107;11.5003;59.9193;;
224.5948;(-42.8100, 2.5500, 76.1200);203.2107;11.5003;59.9383;;
