***SESSION HEADER***
{
  "Participant": "RB251019",
  "Timestamp": "14-14-31-25-10-2019"
}
---SESSION HEADER---
Time;Position;Rotation.X;Rotation.Y;FPS;Input;
1936.7190;(-43.7352, 2.3758, 76.0176);207.9311;7.0775;Infinity;;
1936.7460;(-43.7353, 2.3759, 76.0173);207.8863;6.9543;Infinity;;
1936.7480;(-43.7353, 2.3759, 76.0173);207.8863;6.9543;Infinity;;
1936.7500;(-43.7353, 2.3759, 76.0173);207.8863;6.9543;Infinity;;
1936.7510;(-43.7353, 2.3759, 76.0173);207.8863;6.9543;Infinity;;
1936.7530;(-43.7353, 2.3759, 76.0173);207.8863;6.9543;Infinity;;
1936.7550;(-43.7353, 2.3759, 76.0173);207.8863;6.9543;Infinity;;
1936.7620;(-43.7350, 2.3796, 76.0194);208.5664;6.5252;31.6803;;
1936.8150;(-43.7350, 2.3787, 76.0197);208.5446;6.5069;40.9194;;
1936.8710;(-43.7342, 2.3789, 76.0197);208.4964;6.2109;52.6704;;
1936.9150;(-43.7339, 2.3784, 76.0200);208.1740;6.3301;61.4513;;
1936.9700;(-43.7347, 2.3776, 76.0207);207.8672;6.2998;70.7075;;
1937.0160;(-43.7350, 2.3781, 76.0219);207.7133;6.2236;76.2171;;
1937.0710;(-43.7350, 2.3794, 76.0239);207.4375;5.7759;81.2996;;
1937.1150;(-43.7342, 2.3807, 76.0251);206.9450;5.1964;84.2427;;
1937.1710;(-43.7313, 2.3846, 76.0260);205.7171;3.5778;86.4055;;
1937.2150;(-43.7282, 2.3866, 76.0264);204.9780;2.4271;87.5143;;
1937.2710;(-43.7229, 2.3898, 76.0267);203.6996;1.4103;88.6895;;
1937.3150;(-43.7193, 2.3932, 76.0277);202.7216;0.1846;89.1865;;
1937.3710;(-43.7139, 2.3967, 76.0298);201.5130;358.9467;89.5256;;
1937.4150;(-43.7098, 2.3988, 76.0318);200.9841;358.3226;89.6673;;
1937.4760;(-43.7057, 2.4000, 76.0341);200.7283;357.9879;89.7604;;
1937.5200;(-43.7021, 2.4001, 76.0363);200.5659;358.0938;86.8196;;
1937.5660;(-43.6981, 2.3994, 76.0373);200.2744;358.4010;88.3602;;
1937.6200;(-43.6923, 2.3979, 76.0388);199.7120;358.8793;88.8499;;
1937.6660;(-43.6874, 2.3980, 76.0402);199.1045;358.9232;89.3575;;
1937.7200;(-43.6813, 2.3975, 76.0419);198.2393;359.0024;89.6086;;
1937.7660;(-43.6765, 2.3972, 76.0431);197.6258;359.0874;89.6615;;
1937.8200;(-43.6716, 2.3972, 76.0446);197.0330;359.1398;89.8960;;
1937.8660;(-43.6684, 2.3969, 76.0453);196.6724;359.1313;90.1364;;
1937.9200;(-43.6649, 2.3973, 76.0458);196.3148;359.1597;90.0031;;
1937.9660;(-43.6633, 2.3975, 76.0464);196.0370;359.0705;90.0854;;
1938.0200;(-43.6616, 2.3979, 76.0462);195.7544;358.9357;90.0833;;
1938.0660;(-43.6606, 2.3980, 76.0462);195.6428;358.9749;90.1236;;
1938.1200;(-43.6598, 2.3974, 76.0467);195.6358;358.9948;89.8490;;
1938.1660;(-43.6590, 2.3968, 76.0471);195.6285;359.1185;90.0388;;
1938.2200;(-43.6580, 2.3964, 76.0483);195.6076;359.2945;90.0281;;
1938.2660;(-43.6572, 2.3961, 76.0490);195.5414;359.3623;90.0169;;
1938.3200;(-43.6561, 2.3964, 76.0503);195.4303;359.3185;90.0616;;
1938.3660;(-43.6553, 2.3963, 76.0514);195.3835;359.3338;90.1271;;
1938.4200;(-43.6550, 2.3965, 76.0532);195.4887;359.3322;90.0230;;
1938.4660;(-43.6548, 2.3967, 76.0546);195.5264;359.2242;89.9336;;
1938.5200;(-43.6547, 2.3965, 76.0561);195.5977;359.2428;90.0468;;
1938.5660;(-43.6546, 2.3964, 76.0574);195.6572;359.2148;90.1338;;
1938.6200;(-43.6545, 2.3961, 76.0589);195.6960;359.2898;90.1383;;
1938.6660;(-43.6547, 2.3957, 76.0599);195.7443;359.3754;89.9692;;
1938.7200;(-43.6544, 2.3956, 76.0606);195.8248;359.4113;89.9466;;
1938.7660;(-43.6538, 2.3955, 76.0609);195.8727;359.4774;89.9900;;
1938.8190;(-43.6531, 2.3956, 76.0612);195.9087;359.4379;90.1752;;
1938.8660;(-43.6526, 2.3952, 76.0610);195.8284;359.4687;90.1165;;
1938.9200;(-43.6517, 2.3952, 76.0612);195.7135;359.4220;89.6579;;
1938.9660;(-43.6511, 2.3956, 76.0618);195.6182;359.3644;90.1209;;
1939.0200;(-43.6504, 2.3956, 76.0619);195.5983;359.2987;90.2227;;
1939.0650;(-43.6500, 2.3957, 76.0621);195.6010;359.2801;90.1404;;
1939.1200;(-43.6497, 2.3956, 76.0623);195.6318;359.3414;90.1552;;
1939.1650;(-43.6494, 2.3954, 76.0622);195.6298;359.3437;90.0654;;
1939.2200;(-43.6492, 2.3947, 76.0617);195.6312;359.4842;90.0328;;
1939.2660;(-43.6489, 2.3946, 76.0613);195.6328;359.5903;90.1754;;
1939.3190;(-43.6490, 2.3945, 76.0613);195.6628;359.6702;90.1288;;
1939.3660;(-43.6492, 2.3944, 76.0614);195.7245;359.7018;89.8419;;
1939.4200;(-43.6495, 2.3942, 76.0613);195.8119;359.7573;90.2227;;
1939.4650;(-43.6500, 2.3941, 76.0614);195.9547;359.7996;90.1055;;
1939.5200;(-43.6510, 2.3939, 76.0619);196.1200;359.8392;90.1393;;
1939.5650;(-43.6518, 2.3938, 76.0623);196.2170;359.9024;89.9643;;
1939.6190;(-43.6529, 2.3937, 76.0627);196.3652;359.9790;90.0616;;
1939.6650;(-43.6537, 2.3936, 76.0628);196.3734;0.0926;89.9460;;
1939.7200;(-43.6542, 2.3933, 76.0629);196.3875;0.1643;90.2883;;
1939.7650;(-43.6547, 2.3932, 76.0628);196.3409;0.1922;89.9652;;
1939.8190;(-43.6554, 2.3934, 76.0631);196.2963;0.2580;90.1102;;
1939.8650;(-43.6559, 2.3933, 76.0631);196.3326;0.2924;90.1520;;
1939.9190;(-43.6566, 2.3932, 76.0626);196.3002;0.2664;89.8811;;
1939.9650;(-43.6573, 2.3931, 76.0623);196.2567;0.2435;90.2224;;
1940.0190;(-43.6583, 2.3930, 76.0615);196.2543;0.2929;90.0747;;
1940.0660;(-43.6592, 2.3929, 76.0610);196.2784;0.3626;89.5679;;
1940.1190;(-43.6600, 2.3927, 76.0602);196.3510;0.4314;89.8951;;
1940.1650;(-43.6611, 2.3928, 76.0597);196.3832;0.4419;89.7377;;
1940.2190;(-43.6621, 2.3930, 76.0590);196.4609;0.4134;90.1899;;
1940.2650;(-43.6634, 2.3929, 76.0586);196.5420;0.4523;90.3144;;
1940.3190;(-43.6645, 2.3928, 76.0581);196.7651;0.4787;90.1784;;
1940.3650;(-43.6653, 2.3929, 76.0581);196.9254;0.4507;90.1717;;
1940.4190;(-43.6666, 2.3933, 76.0582);197.2671;0.3621;90.2460;;
1940.4650;(-43.6678, 2.3934, 76.0588);197.6118;0.2463;90.0328;;
1940.5190;(-43.6687, 2.3938, 76.0585);198.3186;0.1549;89.9969;;
1940.5650;(-43.6712, 2.3944, 76.0595);199.5303;0.0293;89.9868;;
1940.6190;(-43.6791, 2.3960, 76.0632);202.9038;359.7490;90.2220;;
1940.6650;(-43.6879, 2.3973, 76.0672);206.9169;359.2709;90.1237;;
1940.7190;(-43.6987, 2.3981, 76.0724);211.9511;358.8191;90.0369;;
1940.7640;(-43.7058, 2.3974, 76.0758);215.0202;358.9926;90.0522;;
1940.8190;(-43.7129, 2.3958, 76.0793);218.1392;359.5736;90.2463;;
1940.8640;(-43.7178, 2.3944, 76.0819);220.3716;0.0673;90.3202;;
1940.9180;(-43.7223, 2.3925, 76.0852);222.4936;0.6769;89.8709;;
1940.9640;(-43.7242, 2.3900, 76.0863);223.4675;1.8508;89.9781;;
1941.0180;(-43.7242, 2.3891, 76.0836);222.0143;1.9922;90.2456;;
1941.0640;(-43.7224, 2.3889, 76.0802);219.9427;2.0887;90.1014;;
1941.1190;(-43.7169, 2.3885, 76.0739);216.3046;2.1366;90.0971;;
1941.1640;(-43.7122, 2.3900, 76.0684);213.2152;1.4992;90.0139;;
1941.2180;(-43.7060, 2.3913, 76.0625);209.8333;1.0254;90.0524;;
1941.2640;(-43.7015, 2.3923, 76.0584);207.5152;0.6110;90.1515;;
1941.3180;(-43.6962, 2.3928, 76.0532);205.0339;0.3876;90.1608;;
