***SESSION HEADER***
{
  "Participant": "1870",
  "Timestamp": "07-48-00-24-01-2020"
}
---SESSION HEADER---
Time;Position;Rotation.X;Rotation.Y;FPS;Input;
32.8340;(-42.8100, 2.5500, 76.1200);91.6166;355.6020;Infinity;;
32.8410;(-42.8100, 2.5500, 76.1200);91.6166;355.6020;206.7286;;
32.9092;(-42.8100, 2.5500, 76.1200);91.6166;355.6020;139.9492;;
32.9411;(-42.8100, 2.5500, 76.1200);91.6166;355.6020;100.8358;;
33.0080;(-42.8100, 2.5500, 76.1200);91.6166;355.6020;77.0414;;
33.0407;(-42.8100, 2.5500, 76.1200);91.6166;355.6020;65.8909;;
33.1080;(-42.8100, 2.5500, 76.1200);91.6166;355.6020;58.2819;;
33.1404;(-42.8100, 2.5500, 76.1200);91.6166;355.6020;53.8799;;
33.1910;(-42.8100, 2.5500, 76.1200);91.6166;355.6020;51.2678;;
33.2418;(-42.8100, 2.5500, 76.1200);91.6166;355.6020;52.0296;;
33.2912;(-42.8100, 2.5500, 76.1200);91.6166;355.6020;46.7911;;
33.3411;(-42.8100, 2.5500, 76.1200);91.6166;355.6020;47.8039;;
33.4089;(-42.8100, 2.5500, 76.1200);91.6166;355.6020;47.4308;;
33.4419;(-42.8100, 2.5500, 76.1200);91.6166;355.6020;44.5194;;
33.5081;(-42.8100, 2.5500, 76.1200);91.6166;355.6020;45.2767;;
33.5401;(-42.8100, 2.5500, 76.1200);91.6166;355.6020;44.3361;;
33.6082;(-42.8100, 2.5500, 76.1200);91.6166;355.6020;43.0993;;
33.6406;(-42.8100, 2.5500, 76.1200);91.6166;355.6020;42.7582;;
33.6905;(-42.8100, 2.5500, 76.1200);91.6166;355.6020;43.4566;;
33.7417;(-42.8100, 2.5500, 76.1200);91.6166;355.6020;44.6389;;
33.8076;(-42.8100, 2.5500, 76.1200);91.6166;355.6020;45.0806;;
33.8415;(-42.8100, 2.5500, 76.1200);91.6166;355.6020;42.8378;;
33.9076;(-42.8100, 2.5500, 76.1200);91.6166;355.6020;43.7730;;
33.9403;(-42.8100, 2.5500, 76.1200);91.6166;355.6020;43.2143;;
34.0076;(-42.8100, 2.5500, 76.1200);91.6166;355.6020;42.2363;;
34.0400;(-42.8100, 2.5500, 76.1200);91.6166;355.6020;43.4198;;
34.0905;(-42.8100, 2.5500, 76.1200);91.6166;355.6020;42.8799;;
34.1413;(-42.8100, 2.5500, 76.1200);91.6166;355.6020;44.1036;;
34.1902;(-42.8100, 2.5500, 76.1200);91.6166;355.6020;41.9547;;
34.2411;(-42.8100, 2.5500, 76.1200);91.6166;355.6020;43.1441;;
34.3072;(-42.8100, 2.5500, 76.1200);91.6166;355.6020;43.9679;;
34.3407;(-42.8100, 2.5500, 76.1200);91.6166;355.6020;40.4091;;
34.4069;(-42.8100, 2.5500, 76.1200);91.6166;355.6020;43.1616;;
34.4399;(-42.8100, 2.5500, 76.1200);91.6166;355.6020;43.9231;;
34.5081;(-42.8100, 2.5500, 76.1200);91.6166;355.6020;41.8063;;
34.5400;(-42.8100, 2.5500, 76.1200);91.6166;355.6020;43.0602;;
34.5906;(-42.8100, 2.5500, 76.1200);91.6166;355.6020;42.6149;;
34.6408;(-42.8100, 2.5500, 76.1200);91.6166;355.6020;43.8089;;
34.6904;(-42.8100, 2.5500, 76.1200);91.6166;355.6020;41.7342;;
34.7409;(-42.8100, 2.5500, 76.1200);91.6166;355.6020;42.9917;;
34.8083;(-42.8100, 2.5500, 76.1200);91.6166;355.6020;43.9027;;
34.8408;(-42.8100, 2.5500, 76.1200);91.6166;355.6020;41.6676;;
34.9079;(-42.8100, 2.5500, 76.1200);91.6166;355.6020;43.1015;;
34.9395;(-42.8100, 2.5500, 76.1200);91.6166;355.6020;43.9413;;
34.9900;(-42.8100, 2.5500, 76.1200);91.6166;355.6020;43.2978;;
35.0412;(-42.8100, 2.5500, 76.1200);91.6166;355.6020;44.3743;;
35.0901;(-42.8100, 2.5500, 76.1200);91.6166;355.6020;42.1521;;
35.1408;(-42.8100, 2.5500, 76.1200);91.6166;355.6020;43.3525;;
35.2082;(-42.8100, 2.5500, 76.1200);91.6166;355.6020;44.1707;;
35.2401;(-42.8100, 2.5500, 76.1200);91.6166;355.6020;40.5886;;
35.3068;(-42.8100, 2.5500, 76.1200);91.6166;355.6020;43.2286;;
35.3400;(-42.8100, 2.5500, 76.1200);91.6166;355.6020;43.9209;;
35.4077;(-42.8100, 2.5500, 76.1200);91.6166;355.6020;41.8648;;
35.4400;(-42.8100, 2.5500, 76.1200);91.6166;355.6020;43.0524;;
35.4905;(-42.8100, 2.5500, 76.1200);91.6166;355.6020;42.5614;;
35.5409;(-42.8100, 2.5500, 76.1200);91.6166;355.6020;43.9190;;
35.5899;(-42.8100, 2.5500, 76.1200);91.6166;355.6020;41.7764;;
35.6405;(-42.8100, 2.5500, 76.1200);91.6166;355.6020;41.1908;;
35.7072;(-42.8100, 2.5500, 76.1200);91.6166;355.6020;43.9688;;
35.7403;(-42.8100, 2.5500, 76.1200);91.6166;355.6020;40.3064;;
35.8075;(-42.8100, 2.5500, 76.1200);91.6166;355.6020;43.0291;;
35.8400;(-42.8100, 2.5500, 76.1200);91.6166;355.6020;43.7753;;
35.9065;(-42.8100, 2.5500, 76.1200);91.6166;355.6020;41.7149;;
35.9402;(-42.8100, 2.5500, 76.1200);91.6166;355.6020;42.9065;;
35.9901;(-42.8100, 2.5500, 76.1200);91.6166;355.6020;42.5711;;
36.0398;(-42.8100, 2.5500, 76.1200);91.6166;355.6020;41.9564;;
36.1070;(-42.8100, 2.5500, 76.1200);91.6166;355.6020;44.5122;;
36.1399;(-42.8100, 2.5500, 76.1200);91.6166;355.6020;40.7584;;
36.2066;(-42.8100, 2.5500, 76.1200);91.6166;355.6020;43.3830;;
36.2393;(-42.8100, 2.5500, 76.1200);91.6166;355.6020;44.1423;;
36.3062;(-42.8100, 2.5500, 76.1200);91.6166;355.6020;41.9997;;
36.3397;(-42.8100, 2.5500, 76.1200);91.6166;355.6020;43.1218;;
36.3900;(-42.8100, 2.5500, 76.1200);91.6166;355.6020;42.7024;;
36.4408;(-42.8100, 2.5500, 76.1200);91.6166;355.6020;43.9592;;
36.4898;(-42.8100, 2.5500, 76.1200);91.6166;355.6020;41.8102;;
36.5400;(-42.8100, 2.5500, 76.1200);91.6166;355.6020;41.2751;;
36.6068;(-42.8100, 2.5500, 76.1200);91.6166;355.6020;44.0036;;
36.6406;(-42.8100, 2.5500, 76.1200);91.6166;355.6020;40.2234;;
36.7070;(-42.8100, 2.5500, 76.1200);91.6166;355.6020;43.0804;;
36.7395;(-42.8100, 2.5500, 76.1200);91.6166;355.6020;43.8292;;
36.8062;(-42.8100, 2.5500, 76.1200);91.6166;355.6020;41.6965;;
36.8402;(-42.8100, 2.5500, 76.1200);91.6166;355.6020;42.8850;;
36.8897;(-42.8100, 2.5500, 76.1200);91.6166;355.6020;42.5933;;
36.9408;(-42.8100, 2.5500, 76.1200);91.6166;355.6020;43.8629;;
36.9896;(-42.8100, 2.5500, 76.1200);91.6166;355.6020;41.7404;;
37.0399;(-42.8100, 2.5500, 76.1200);91.6166;355.6020;41.2174;;
37.1072;(-42.8100, 2.5500, 76.1200);91.6166;355.6020;43.8596;;
37.1406;(-42.8100, 2.5500, 76.1200);91.6166;355.6020;40.1930;;
37.2062;(-42.8100, 2.5500, 76.1200);91.6166;355.6020;42.9757;;
37.2392;(-42.8100, 2.5500, 76.1200);91.6166;355.6020;43.8538;;
37.2892;(-42.8100, 2.5500, 76.1200);91.6166;355.6020;43.3339;;
37.3406;(-42.8100, 2.5500, 76.1200);91.6166;355.6020;44.4928;;
37.3894;(-42.8100, 2.5500, 76.1200);91.6166;355.6020;42.1610;;
37.4400;(-42.8100, 2.5500, 76.1200);91.6166;355.6020;41.4877;;
37.5059;(-42.8100, 2.5500, 76.1200);91.6166;355.6020;44.0832;;
37.5403;(-42.8100, 2.5500, 76.1200);91.6166;355.6020;40.4162;;
37.6061;(-42.8100, 2.5500, 76.1200);91.6166;355.6020;43.2214;;
37.6391;(-42.8100, 2.5500, 76.1200);91.6166;355.6020;43.9546;;
37.7058;(-42.8100, 2.5500, 76.1200);91.6166;355.6020;41.8033;;
37.7393;(-42.8100, 2.5500, 76.1200);91.6166;355.6020;43.0331;;
37.7893;(-42.8100, 2.5500, 76.1200);91.6166;355.6020;42.6724;;
37.8401;(-42.8100, 2.5500, 76.1200);91.6166;355.6020;41.8395;;
37.8893;(-42.8100, 2.5500, 76.1200);91.6166;355.6020;41.7824;;
37.9403;(-42.8100, 2.5500, 76.1200);91.6166;355.6020;41.0985;;
38.0059;(-42.8100, 2.5500, 76.1200);91.6166;355.6020;43.8745;;
38.0396;(-42.8100, 2.5500, 76.1200);91.6166;355.6020;40.3120;;
38.1058;(-42.8100, 2.5500, 76.1200);91.6166;355.6020;43.0947;;
38.1390;(-42.8100, 2.5500, 76.1200);91.6166;355.6020;43.7854;;
38.2058;(-42.8100, 2.5500, 76.1200);91.6166;355.6020;41.6780;;
38.2390;(-42.8100, 2.5500, 76.1200);91.6166;355.6020;42.9596;;
38.2900;(-42.8100, 2.5500, 76.1200);91.6166;355.6020;42.4488;;
38.3400;(-42.8100, 2.5500, 76.1200);91.6166;355.6020;41.7836;;
38.3890;(-42.8100, 2.5500, 76.1200);91.6166;355.6020;41.7395;;
38.4396;(-42.8100, 2.5500, 76.1200);91.6166;355.6020;41.1563;;
38.5061;(-42.8100, 2.5500, 76.1200);91.6166;355.6020;43.8860;;
38.5387;(-42.8100, 2.5500, 76.1200);91.6166;355.6020;44.4520;;
38.6065;(-42.8100, 2.5500, 76.1200);91.6166;355.6020;42.3150;;
38.6389;(-42.8100, 2.5500, 76.1200);91.6166;355.6020;43.3517;;
38.6894;(-42.8100, 2.5500, 76.1200);91.6166;355.6020;42.8446;;
38.7403;(-42.8100, 2.5500, 76.1200);91.6166;355.6020;41.9453;;
