***SESSION HEADER***
{
  "Participant": "10001",
  "Timestamp": "09-50-08-10-07-2020"
}
---SESSION HEADER---
Time;Position;Rotation.X;Rotation.Y;FPS;Input;
286.4661;(-42.4521, 2.3464, 76.0268);4.8925;356.9636;Infinity;;
286.4786;(-42.4527, 2.3459, 76.0265);4.2397;356.9864;223.0974;;
286.5386;(-42.4542, 2.3440, 76.0242);1.3736;357.5056;132.9698;;
286.5835;(-42.4548, 2.3431, 76.0225);359.8188;357.8146;96.8416;;
286.6283;(-42.4552, 2.3420, 76.0206);358.1755;358.1292;79.4475;;
286.6745;(-42.4554, 2.3413, 76.0189);356.6297;358.2740;65.5158;;
286.7396;(-42.4544, 2.3403, 76.0165);354.9982;358.5519;60.3694;;
286.7847;(-42.4529, 2.3395, 76.0148);354.3152;358.7592;56.5486;;
286.8295;(-42.4506, 2.3391, 76.0132);353.9283;358.9181;53.8732;;
286.8752;(-42.4477, 2.3396, 76.0119);353.8001;358.8823;51.0908;;
286.9407;(-42.4445, 2.3433, 76.0095);353.2678;357.9009;49.7882;;
286.9857;(-42.4435, 2.3466, 76.0069);352.7365;356.6793;48.6761;;
287.0305;(-42.4431, 2.3489, 76.0028);351.9492;355.6774;47.9507;;
287.0761;(-42.4432, 2.3520, 75.9974);351.3421;354.8718;47.0926;;
287.1413;(-42.4437, 2.3587, 75.9880);350.7271;353.4015;46.6058;;
287.1863;(-42.4445, 2.3637, 75.9813);350.5135;352.0823;46.2245;;
287.2308;(-42.4456, 2.3679, 75.9739);350.2438;350.9670;45.9343;;
287.2771;(-42.4464, 2.3715, 75.9660);350.0267;349.8174;45.6052;;
287.3422;(-42.4483, 2.3775, 75.9548);349.7333;347.1894;45.4876;;
287.3871;(-42.4490, 2.3804, 75.9475);349.5794;345.8228;45.3536;;
287.4318;(-42.4495, 2.3831, 75.9412);349.6248;344.2855;45.2125;;
287.4783;(-42.4502, 2.3859, 75.9357);349.5128;342.6854;45.0908;;
287.5433;(-42.4510, 2.3903, 75.9282);349.2613;339.7884;45.0333;;
287.5884;(-42.4508, 2.3924, 75.9234);349.2977;337.9996;45.0340;;
287.6331;(-42.4507, 2.3934, 75.9185);349.0242;336.3528;44.9365;;
287.6780;(-42.4510, 2.3936, 75.9136);348.4128;334.6451;44.9166;;
287.7221;(-42.4513, 2.3928, 75.9095);347.5516;333.1170;44.8639;;
287.7892;(-42.4511, 2.3954, 75.9075);347.3036;330.2172;44.8644;;
287.8222;(-42.4507, 2.3959, 75.9085);347.6613;330.0673;44.8051;;
287.8897;(-42.4494, 2.3972, 75.9130);348.3868;329.2999;56.4495;;
287.9342;(-42.4493, 2.3976, 75.9158);348.7706;328.9434;53.7889;;
287.9791;(-42.4491, 2.3968, 75.9184);348.8591;329.1405;51.8080;;
288.0236;(-42.4497, 2.3967, 75.9203);348.5170;329.2162;57.5963;;
288.0800;(-42.4504, 2.3958, 75.9240);348.0190;329.9034;59.6515;;
288.1246;(-42.4503, 2.3960, 75.9266);347.8886;329.8816;56.0911;;
288.1911;(-42.4504, 2.3957, 75.9293);348.1891;329.6841;57.2490;;
288.2359;(-42.4506, 2.3955, 75.9310);348.4292;329.6125;54.3344;;
288.2806;(-42.4513, 2.3956, 75.9323);348.4479;329.5321;52.3080;;
288.3251;(-42.4517, 2.3947, 75.9331);348.3234;329.8082;58.0401;;
288.3920;(-42.4531, 2.3936, 75.9350);347.8608;329.8627;56.5412;;
288.4369;(-42.4541, 2.3930, 75.9361);347.6899;330.2217;53.8514;;
288.4819;(-42.4556, 2.3921, 75.9372);347.4769;330.5061;51.8223;;
288.5266;(-42.4569, 2.3916, 75.9387);347.1459;330.4949;50.3398;;
288.5821;(-42.4578, 2.3911, 75.9406);347.2097;330.7213;53.7646;;
288.6270;(-42.4582, 2.3903, 75.9424);347.3120;331.0241;60.3066;;
288.6943;(-42.4595, 2.3897, 75.9449);347.2196;331.3074;55.0978;;
288.7383;(-42.4600, 2.3894, 75.9462);347.1415;331.3782;52.8187;;
288.7731;(-42.4603, 2.3893, 75.9467);347.0555;331.4541;53.4001;;
288.8283;(-42.4613, 2.3886, 75.9484);346.8665;331.5644;54.3141;;
288.8737;(-42.4614, 2.3884, 75.9495);346.8896;331.6441;51.3721;;
288.9283;(-42.4614, 2.3883, 75.9509);346.8616;331.7965;49.8885;;
288.9740;(-42.4615, 2.3879, 75.9523);346.8795;331.9708;61.0368;;
289.0401;(-42.4614, 2.3869, 75.9550);346.9038;332.3750;57.0957;;
289.0848;(-42.4614, 2.3863, 75.9568);346.9782;332.6208;59.8892;;
289.1293;(-42.4616, 2.3862, 75.9582);347.0125;332.7448;58.3131;;
289.1754;(-42.4619, 2.3857, 75.9605);346.9715;333.0327;56.7764;;
289.2414;(-42.4623, 2.3855, 75.9630);346.9769;333.4510;58.8664;;
289.2861;(-42.4624, 2.3853, 75.9641);346.8863;333.6146;61.2363;;
289.3309;(-42.4625, 2.3857, 75.9646);346.9870;333.5864;57.2581;;
289.3766;(-42.4628, 2.3855, 75.9642);346.9356;333.5152;58.0058;;
289.4421;(-42.4641, 2.3858, 75.9638);346.7734;333.3280;54.9075;;
289.4871;(-42.4645, 2.3855, 75.9636);346.7545;333.6021;58.1679;;
289.5312;(-42.4650, 2.3852, 75.9637);346.7274;333.6851;57.2403;;
289.5779;(-42.4660, 2.3852, 75.9636);346.6977;333.7454;55.8379;;
289.6433;(-42.4670, 2.3852, 75.9634);346.7152;333.5827;58.1842;;
289.6736;(-42.4672, 2.3850, 75.9633);346.7539;333.6293;58.4672;;
289.7223;(-42.4684, 2.3848, 75.9632);346.7753;333.8193;55.2323;;
289.7885;(-42.4698, 2.3845, 75.9630);346.7911;333.9431;51.9142;;
289.8218;(-42.4705, 2.3846, 75.9629);346.7816;334.0142;50.3683;;
289.8781;(-42.4722, 2.3843, 75.9630);346.7896;334.2773;53.7437;;
289.9229;(-42.4730, 2.3847, 75.9630);346.8794;334.1333;57.2183;;
289.9898;(-42.4751, 2.3845, 75.9633);346.9148;334.1224;53.1195;;
290.0343;(-42.4764, 2.3842, 75.9638);346.9865;334.2096;51.3475;;
290.0793;(-42.4776, 2.3841, 75.9643);347.0298;334.3783;55.2109;;
290.1238;(-42.4787, 2.3839, 75.9646);346.9738;334.4771;52.8237;;
290.1905;(-42.4803, 2.3839, 75.9652);347.0232;334.5196;50.3418;;
290.2357;(-42.4813, 2.3837, 75.9658);347.1302;334.5323;49.1811;;
290.2804;(-42.4823, 2.3834, 75.9669);347.3944;334.6750;48.2924;;
290.3247;(-42.4823, 2.3832, 75.9681);347.6660;334.8483;47.6306;;
290.3916;(-42.4822, 2.3831, 75.9701);348.0383;335.0872;46.7858;;
290.4364;(-42.4826, 2.3833, 75.9710);347.8098;335.2035;46.3796;;
290.4812;(-42.4829, 2.3835, 75.9719);347.5981;335.1269;46.0382;;
290.5261;(-42.4829, 2.3838, 75.9723);347.5974;335.1151;45.8104;;
290.5929;(-42.4824, 2.3839, 75.9724);347.6738;334.9007;45.5235;;
290.6375;(-42.4818, 2.3842, 75.9725);347.9387;334.7350;45.3930;;
290.6821;(-42.4814, 2.3842, 75.9732);348.0822;334.6920;47.6295;;
290.7272;(-42.4808, 2.3838, 75.9742);348.2152;334.7666;49.3737;;
290.7944;(-42.4804, 2.3835, 75.9759);348.3221;335.0984;48.0222;;
290.8385;(-42.4801, 2.3831, 75.9768);348.4251;335.2336;52.3080;;
290.8736;(-42.4800, 2.3833, 75.9772);348.4705;335.1954;53.0199;;
290.9281;(-42.4795, 2.3833, 75.9782);348.5034;335.2442;54.0030;;
290.9738;(-42.4790, 2.3835, 75.9788);348.5122;335.2166;51.1893;;
291.0394;(-42.4780, 2.3836, 75.9795);348.4624;335.2128;49.7942;;
291.0746;(-42.4776, 2.3835, 75.9799);348.5461;335.2022;51.0999;;
291.1289;(-42.4763, 2.3836, 75.9810);348.8407;335.3741;52.3813;;
291.1783;(-42.4761, 2.3829, 75.9819);348.9429;335.5604;50.7254;;
291.2293;(-42.4758, 2.3828, 75.9826);348.9332;335.6643;49.3241;;
291.2756;(-42.4757, 2.3829, 75.9830);348.8697;335.7422;50.1865;;
291.3412;(-42.4748, 2.3826, 75.9833);348.8787;335.9507;49.0307;;
291.3864;(-42.4745, 2.3822, 75.9833);348.8588;336.1332;48.1868;;
291.4312;(-42.4747, 2.3820, 75.9834);348.7607;336.2169;47.4899;;
291.4779;(-42.4744, 2.3818, 75.9836);348.7332;336.2117;46.7086;;
291.5421;(-42.4745, 2.3814, 75.9836);348.6517;336.4016;46.2992;;
291.5876;(-42.4748, 2.3810, 75.9838);348.6249;336.6289;46.0049;;
291.6320;(-42.4751, 2.3809, 75.9841);348.5360;336.8460;45.7378;;
291.6779;(-42.4751, 2.3807, 75.9842);348.4676;337.0012;45.4764;;
291.7433;(-42.4748, 2.3806, 75.9842);348.6470;337.1994;45.3715;;
291.7882;(-42.4746, 2.3802, 75.9840);348.7725;337.3975;45.2691;;
291.8325;(-42.4742, 2.3800, 75.9837);348.8961;337.4315;45.0770;;
291.8787;(-42.4741, 2.3801, 75.9831);348.9416;337.4845;45.0634;;
291.9225;(-42.4734, 2.3799, 75.9824);349.0204;337.5244;49.8088;;
291.9892;(-42.4729, 2.3799, 75.9816);349.1221;337.3887;48.3129;;
292.0345;(-42.4726, 2.3795, 75.9808);349.0751;337.6090;47.4923;;
292.0787;(-42.4723, 2.3796, 75.9800);349.0468;337.6773;47.0363;;
292.1234;(-42.4721, 2.3796, 75.9793);348.9311;337.6718;51.4674;;
292.1902;(-42.4713, 2.3793, 75.9787);348.9193;337.6237;54.6410;;
292.2351;(-42.4707, 2.3790, 75.9788);348.9706;337.7091;52.4190;;
292.2796;(-42.4701, 2.3789, 75.9790);348.9917;337.9085;50.8140;;
292.3243;(-42.4693, 2.3791, 75.9795);349.2497;337.9503;49.5334;;
292.3912;(-42.4683, 2.3784, 75.9800);349.7707;338.3197;48.1454;;
292.4359;(-42.4673, 2.3779, 75.9804);350.1938;338.5991;47.4207;;
292.4810;(-42.4661, 2.3770, 75.9811);350.7748;339.1343;46.9171;;
292.5256;(-42.4642, 2.3761, 75.9825);351.7416;340.1184;46.4999;;
292.5924;(-42.4613, 2.3730, 75.9857);353.7464;342.5393;46.0151;;
292.6372;(-42.4587, 2.3700, 75.9875);355.4463;344.6855;45.6952;;
292.6823;(-42.4558, 2.3676, 75.9890);357.2568;346.6854;45.4778;;
292.7272;(-42.4534, 2.3651, 75.9901);358.8677;348.5332;45.3597;;
292.7939;(-42.4500, 2.3602, 75.9912);1.0767;351.6000;45.1996;;
292.8389;(-42.4477, 2.3570, 75.9924);2.6406;353.4656;45.1161;;
292.8833;(-42.4453, 2.3536, 75.9932);4.2030;355.3903;45.0776;;
292.9284;(-42.4436, 2.3506, 75.9939);5.3342;357.0831;44.9750;;
292.9743;(-42.4416, 2.3477, 75.9945);6.5307;358.7409;44.9013;;
