***SESSION HEADER***
{
  "Participant": "testdkdesktop",
  "Timestamp": "12-34-34-25-08-2020"
}
---SESSION HEADER---
Time;Position;Rotation.X;Rotation.Y;FPS;Input;
45274.7320;(-42.8100, 2.5500, 76.1200);104.5605;0.0000;Infinity;;
45274.7456;(-42.8100, 2.6340, 76.1233);104.5605;0.0000;Infinity;;
45274.7476;(-42.8100, 2.6340, 76.1233);104.5605;0.0000;Infinity;;
45274.7486;(-42.8100, 2.6340, 76.1233);104.5605;0.0000;Infinity;;
45274.7778;(-42.8100, 2.6340, 76.1233);104.5605;0.0000;56.3653;;
45274.8095;(-42.8100, 2.6340, 76.1233);104.5605;0.0000;51.5699;;
45274.8587;(-42.8100, 2.6340, 76.1233);104.5605;0.0000;53.7213;;
45274.9096;(-42.8100, 2.6340, 76.1233);104.5605;0.0000;55.1785;;
45274.9590;(-42.8100, 2.6340, 76.1233);104.5605;0.0000;56.5027;;
45275.0093;(-42.8100, 2.6340, 76.1233);104.5605;0.0000;57.3556;;
45275.0595;(-42.8100, 2.6340, 76.1233);104.5605;0.0000;58.0439;;
45275.1085;(-42.8100, 2.6340, 76.1233);104.5605;0.0000;58.6176;;
45275.1592;(-42.8100, 2.6340, 76.1233);104.5605;0.0000;58.9386;;
45275.2091;(-42.8100, 2.6340, 76.1233);104.5605;0.0000;59.2969;;
45275.2585;(-42.8100, 2.6340, 76.1233);104.5605;0.0000;59.4203;;
45275.3094;(-42.8100, 2.6340, 76.1233);104.5389;0.0293;59.5031;;
45275.3596;(-42.8100, 2.6340, 76.1233);104.3358;0.2628;59.5442;;
45275.4094;(-42.8100, 2.6340, 76.1233);103.8929;0.6772;59.7509;;
45275.4592;(-42.8100, 2.6340, 76.1233);103.3562;1.1910;59.8479;;
45275.5092;(-42.8100, 2.6340, 76.1233);102.7985;1.7346;59.8539;;
45275.5592;(-42.8100, 2.6340, 76.1233);102.4172;2.1073;59.8575;;
45275.6084;(-42.8100, 2.6340, 76.1233);102.1842;2.3350;59.9856;;
45275.6584;(-42.8100, 2.6340, 76.1233);102.0400;2.4759;59.9640;;
45275.7085;(-42.8100, 2.6340, 76.1233);101.9523;2.5615;60.2156;;
45275.7585;(-42.8100, 2.6340, 76.1233);101.8971;2.6350;59.9682;;
45275.8093;(-42.8100, 2.6340, 76.1233);101.8495;2.6796;59.8644;;
45275.8583;(-42.8100, 2.6340, 76.1233);101.8157;2.7064;60.1761;;
